Row,Logs,bsnDot11StationAssociateFail,bsnAuthenticationFailure,ciscoLwappSiIdrDevice,bsnDot11StationAuthenticateFail,bsnDot11StationAssociate,ciscoLwappDot11ClientMovedToRunState,bsnRogueAPRemoved,bsnAPName,bsnStationUserName,bsnStationMacAddress,bsnStationAPIfSlotId,bsnStationAPMacAddr,bsnStationReasonCode,cLApName,cLApDot11IfSlotId,bsnAuthFailureUserType,bsnAuthFailureUserName,cLApSysMacAddress,cLSiIdrAffectedChannels,cLSiIdrDeviceId,cLSiIdrDeviceType,cLSiIdrPreviousClusterId,cLSiIdrClusterId,cLSiAlarmClear,cLSiIdrSeverity,bsnRogueAPDot11MacAddress,bsnRogueAPRadioType,bsnRogueAPAirespaceAPMacAddress,bsnRogueAPAirespaceAPName,bsnRogueAPAirespaceAPSlotId,cldcApMacAddress,cldcClientMacAddress,cldcClientIPAddress,cldcClientRSSI,cldcClientSNR,ciscoLwappAAARadiusReqTimedOut,claRadiusAddressType,claRadiusAddress,claRadiusPortNum,ciscoLwappAAARadiusServerWlanDeactivated,ciscoLwappDot11ClientCoverageHolePreAlarm,clrRrmNeighborApRssi,clrRrmNeighborApMacAddress,clrRrmRssiHistogramValues,clrRrmRssiHistogramMinIndex,clrRrmClientType,clrRrmRssiHistogramMaxIndex,clrRrmRssiHistogramLength,clrRrmTimeStamp,cldcIfType,clrRrmNeighborApIfType,clrRrmApTransmitPowerLevel,clrRrmNeighborApCount,ciscoLwappDot11ClientSessionTrap,cldcClientSSID,cldcClientUsername,cldcClientByIpAddress,cldcClientByIpAddressType,cLWlanChdEnable,ciscoLwappApRogueDetected,cLApRSSI,cLApDot11IfType,cLApRogueClassifiedApMacAddress,cLApRogueAPOnWiredNetwork,cLApSNR,cLApAdhocRogue,cLApRogueClassifiedRSSI,cLApRogueApMacAddress,cLApRogueApSsid,cLApRogueMode,cLApRogueIsClassifiedByRule,cLApRogueClassType,cLApRogueDetectedChannel,ciscoLwappApIfDownNotify,ciscoLwappApIfUpNotify,cLApAdminStatus,cLApDot11IfAdminStatus,cLApPortNumber,cLRuleSeverityScore,cLRuleName,bsnDot11StationDisassociate,cLApRuleName,cLApSeverityScore,cLWlanScanDeferPriority,multipleUsersTrap,ciscoLwappDot11ClientAssocNacAlert,ciscoLwappDot11ClientAssocDataStatsTrap,ciscoLwappDot11ClientDisassocDataStatsTrap,OIDs
20120101t0000,1.40729629609801,3.17015255514138,3.03448101390919,2.67899404566121,3.44085592641153,0.545879654191708,0.59489648880158,3.09919467819306,1.54742661871026,1.56916168771217,1.56909983506695,1.56909982637122,1.56909981956945,2.18432515824296,1.16054587024582,0.859593464114526,3.03448101390919,3.03448101616361,2.09488385749182,2.67899404946527,2.67899404793983,2.67899404793983,2.6789940549931,2.67899405148801,2.68782397110306,2.67899405148801,3.52647652650432,3.52211353551657,3.51974979789538,3.55245772734165,3.52211348588462,0.464845406522352,0.461886217119778,0.591333890600195,9.29316004712449,9.29316004886123,0.416302339899788,-1.27593257891695,-1.27593257891695,-1.27593257891695,0.404601562692557,-0.420851840259123,-0.420851840259123,-0.420851840259123,-0.420851840259123,-0.420851840259123,-0.420851840259123,-0.420851840259123,-0.420851840259123,-0.420851840259123,-0.432201244497556,-0.420851840259123,-0.420851840259123,-0.420851840259123,-5.99394874955953,-6.05514872254102,-6.0551487258475,-6.15544712103259,-6.15544712103259,-0.751972922486603,-3.99362629401679,-3.99362629401679,-4.04362136098173,-3.99362629401679,-3.99362629401679,-3.99362629401679,-3.99362629401679,-3.99362629401679,-4.02723800478892,-3.99362629401679,-4.02723777052352,-3.99362629401679,-3.99217682822003,-3.9925274407416,-0.199396344436337,-0.315639302448334,-0.199396344436337,-0.199396344436337,-0.315639302448334,-1.23882207314391,-1.23882207314391,-3.21204311772041,-0.593876841591674,-0.593876841591674,-0.984803957200206,1.50447764479282,-0.0835878780738768,0.660142761005824,0.778174397522263,1.32171041739118
20120102t0000,0.726628627315544,2.46649708003563,2.33750508686269,2.09657492281385,2.74726238209609,-0.222159936449816,-0.181798594557773,2.39251997481794,0.85669650420665,0.87845475714821,0.878392904502998,0.878392895807264,0.878392889005498,1.51081483009233,0.52017356836769,0.222566734253815,2.33750508686269,2.33750508911712,1.51231897630609,2.09657492661792,2.09657492509248,2.09657492509248,2.09657493214575,2.09657492864066,2.1054048482557,2.09657492864066,2.82389414247656,2.81807008877894,2.81570635115775,2.84841428060401,2.81807003914699,-0.31483064011574,-0.317789829518314,-0.185361192759159,8.51646496376513,8.51646496550187,0.576873589333049,-0.134532076471964,-0.134532076471964,-0.134532076471964,1.54600206513754,-1.24144762462107,-1.24144762462107,-1.24144762462107,-1.24144762462107,-1.24144762462107,-1.24144762462107,-1.24144762462107,-1.24144762462107,-1.24144762462107,-1.25355661871752,-1.24144762462107,-1.24144762462107,-1.24144762462107,-4.85254824711454,-4.91374822009603,-4.91374822340251,-5.0140466185876,-5.0140466185876,-1.60649298967159,-2.8522257915718,-2.8522257915718,-2.90222085853674,-2.8522257915718,-2.8522257915718,-2.8522257915718,-2.8522257915718,-2.8522257915718,-2.88583750234393,-2.8522257915718,-2.88583726807854,-2.8522257915718,-2.85077632577504,-2.85112693829661,-0.66743375442545,-0.783676712437448,-0.66743375442545,-0.66743375442545,-0.783676712437448,-0.0974215706989225,-0.0974215706989225,-3.16925490394354,0.547523660853313,0.547523660853313,0.156596545244782,2.6458781472378,1.05781262437111,1.80154326345081,1.91957489996725,0.648778196410775
20120103t0000,1.5465835815578,2.26129736645477,2.19201202617918,2.53864535295987,2.16498319800938,1.92868054974178,1.91073355006765,2.46847211369944,1.78836087346155,1.81561234118525,1.81555048854004,1.81555047984431,1.81555047304254,1.75452452404132,1.72448001898001,1.40652579026438,2.19201202617918,2.1920120284336,1.95653245764525,2.53864535676394,2.5386453552385,2.5386453552385,2.53864536229177,2.53864535878668,2.54747527840173,2.53864535878668,2.90961135556311,2.88139785767108,2.87903412004989,2.91174204949615,2.88139780803913,1.77281578549588,1.76985659609331,1.90717095186626,10.6089971083906,10.6089971101273,0.517895111295084,-2.13942070356524,-2.13942070356524,-2.13942070356524,-0.458886561955735,0.755181530997179,0.755181530997179,0.755181530997179,0.755181530997179,0.755181530997179,0.755181530997179,0.755181530997179,0.755181530997179,0.755181530997179,0.747511070596753,0.755181530997179,0.755181530997179,0.755181530997179,-6.85743687420782,-6.91863684718931,-6.91863685049579,-7.01893524568088,-7.01893524568088,0.575939401915337,-4.85711441866508,-4.85711441866508,-4.90710948563002,-4.85711441866508,-4.85711441866508,-4.85711441866508,-4.85711441866508,-4.85711441866508,-4.89072612943721,-4.85711441866508,-4.89072589517182,-4.85711441866508,-4.85566495286832,-4.85601556538989,1.37072888631582,1.28046141470708,1.37072888631582,1.37072888631582,1.28046141470708,-2.1023101977922,-2.1023101977922,-0.170197225091356,-1.45736496623997,-1.45736496623997,-1.8482920818485,0.640989520144524,-0.947076002722168,-0.203345363642468,-0.0853137271260285,1.48881214547515
20120104t0000,1.14837351400448,1.10243212096807,0.829085486270483,2.34192686270726,0.27460349584167,1.53715156030867,1.56769155726082,2.62072119381199,1.29964016657769,1.31332481877697,1.31326296613176,1.31326295743602,1.31326295063426,1.06988539754822,1.42929664807986,1.11707275794297,0.829085486270483,0.829085488524907,1.75852391115955,2.34192686651133,2.34192686498589,2.34192686498589,2.34192687203916,2.34192686853407,2.35075678814912,2.34192686853407,3.05546025586993,3.03901921319453,3.03665547557334,3.0693634050196,3.03901916356257,1.42361658661448,1.4206573972119,1.56412895905944,10.2659551155837,10.2659551173205,-1.68025605561056,-1.29304943274747,-1.29304943274747,-1.29304943274747,0.38748470886204,0.289902901122442,0.289902901122442,0.289902901122442,0.289902901122442,0.289902901122442,0.289902901122442,0.289902901122442,0.289902901122442,0.289902901122442,0.285106553872278,0.289902901122442,0.289902901122442,0.289902901122442,-6.01106560339004,-6.07226557637154,-6.07226557967802,-6.17256397486311,-6.17256397486311,0.352485633859439,-4.01074314784731,-4.01074314784731,-4.06073821481225,-4.01074314784731,-4.01074314784731,-4.01074314784731,-4.01074314784731,-4.01074314784731,-4.04435485861944,-4.01074314784731,-4.04435462435404,-4.01074314784731,-4.00929368205054,-4.00964429457212,0.425340687905541,0.360391024281094,0.425340687905541,0.425340687905541,0.360391024281094,-1.25593892697443,-1.25593892697443,-0.83126469875256,-0.610993695422191,-0.610993695422191,-1.00192081103072,1.4873607909623,-0.100704731904393,0.643025907175307,0.761057543691746,1.12556418317984
20120106t0000,1.44431964702776,1.3569827547919,1.64449793049879,2.07962784480348,0.719316189358761,1.99763635243964,2.047055304423,2.09630320946489,1.70642768182404,1.73058482975492,1.73052297710971,1.73052296841398,1.73052296161221,1.39907298306619,1.69185961213815,1.37062920164603,1.64449793049879,1.64449793275322,1.49780534953137,2.07962784860755,2.07962784708211,2.07962784708211,2.07962785413538,2.07962785063028,2.08845777024533,2.07962785063028,2.59824401311385,2.5112756990815,2.5089119614603,2.54161989090657,2.51127564944954,1.90470081684501,1.90174162744243,2.04349270622161,10.7453188627459,10.7453188644826,-2.09078535395723,-1.70357873109414,-1.70357873109414,-1.70357873109414,-0.0230445894846301,0.805523826605816,0.805523826605816,0.805523826605816,0.805523826605816,0.805523826605816,0.805523826605816,0.805523826605816,0.805523826605816,0.805523826605816,0.799067431080788,0.805523826605816,0.805523826605816,0.805523826605816,-6.42159490173671,-6.48279487471821,-6.48279487802469,-6.58309327320978,-6.58309327320978,0.365048001612529,-4.42127244619398,-4.42127244619398,-4.47126751315892,-4.42127244619398,-4.42127244619398,-4.42127244619398,-4.42127244619398,-4.42127244619398,-4.45488415696611,-4.42127244619398,-4.45488392270071,-4.42127244619398,-4.41982298039721,-4.42017359291879,1.04066432394455,0.943113498944707,1.04066432394455,1.04066432394455,0.943113498944707,-1.6664682253211,-1.6664682253211,-0.695250290731161,-1.02152299376886,-1.02152299376886,-1.41245010937739,1.07683149261563,-0.511234030251064,0.232496608828637,0.350528245345076,1.3817144107719
20120107t0000,1.61191009015778,1.82442107036235,1.83844026874504,2.40739993042415,1.14589762021971,2.0797313401025,2.10815817077036,2.68148517388136,1.85262148420525,1.87478307724666,1.87472122460144,1.87472121590571,1.87472120910394,1.6663843266938,1.82574134609533,1.4995950050921,1.83844026874504,1.83844027099946,1.82419009418676,2.40739993422822,2.40739993270278,2.40739993270278,2.40739993975605,2.40739993625096,2.416229855866,2.40739993625096,3.14691164104739,3.10089714211855,3.09853340449736,3.13124133394362,3.1008970924866,1.9760583112701,1.97309912186753,2.10459557256898,10.8064217290933,10.80642173083,-2.42614363456353,-2.03893701170043,-2.03893701170043,-2.03893701170043,-0.358402870090922,1.05358221123052,1.05358221123052,1.05358221123052,1.05358221123052,1.05358221123052,1.05358221123052,1.05358221123052,1.05358221123052,1.05358221123052,1.04673106544497,1.05358221123052,1.05358221123052,1.05358221123052,-6.756953182343,-6.8181531553245,-6.81815315863098,-6.91845155381607,-6.91845155381607,0.711997699947986,-4.75663072680027,-4.75663072680027,-4.80662579376521,-4.75663072680027,-4.75663072680027,-4.75663072680027,-4.75663072680027,-4.75663072680027,-4.7902424375724,-4.75663072680027,-4.790242203307,-4.75663072680027,-4.7551812610035,-4.75553187352508,0.647037135214284,0.530794177202287,0.647037135214284,0.647037135214284,0.530794177202287,-2.00182650592739,-2.00182650592739,-0.509311647704167,-1.35688127437515,-1.35688127437515,-1.74780838998368,0.741473212009336,-0.846592310857356,-0.102861671777655,0.0151699647387842,1.5608207367439
20120108t0000,1.64708249313975,2.12604716488404,1.76076946160097,2.32888890031309,1.02120723403559,2.14671417274051,2.18684550781987,2.61948063967041,1.90219899329696,1.92957046127064,1.92950860862543,1.92950859992969,1.92950859312793,1.69873668015656,1.87109684714015,1.53646870671985,1.76076946160097,1.76076946385539,1.74570919761886,2.32888890411715,2.32888890259171,2.32888890259171,2.32888890964498,2.32888890613989,2.33771882575494,2.32888890613989,3.06862913047278,3.03439778999568,3.03203405237448,3.06474198182075,3.03439774036372,2.06343255745185,2.06047336804928,2.18328290961848,10.8851090661428,10.8851090678795,-2.51164696761692,-2.12444034475382,-2.12444034475382,-2.12444034475382,-0.443906203144314,1.26809335212157,1.26809335212157,1.26809335212157,1.26809335212157,1.26809335212157,1.26809335212157,1.26809335212157,1.26809335212157,1.26809335212157,1.26131738441687,1.26809335212157,1.26809335212157,1.26809335212157,-6.8424565153964,-6.90365648837789,-6.90365649168437,-7.00395488686946,-7.00395488686946,0.98331961896528,-4.84213405985366,-4.84213405985366,-4.8921291268186,-4.84213405985366,-4.84213405985366,-4.84213405985366,-4.84213405985366,-4.84213405985366,-4.87574577062579,-4.84213405985366,-4.8757455363604,-4.84213405985366,-4.8406845940569,-4.84103520657847,0.600754515314173,0.465093471445074,0.600754515314173,0.600754515314173,0.465093471445074,-2.08732983898078,-2.08732983898078,-0.14852787812914,-1.44238460742855,-1.44238460742855,-1.83331172303708,0.655969878955944,-0.932095643910748,-0.188365004831048,-0.0703333683146083,1.5968295928942
20120109t0000,1.38555342796894,1.49115872901293,1.47369559799505,2.13924303231057,0.968440972594414,1.91636699542003,1.94640533228003,2.10103351892922,1.64025655612005,1.66931374532595,1.66925189268074,1.66925188398501,1.66925187718324,1.37997238390251,1.62298515144554,1.30912440019868,1.47369559799505,1.47369560024947,1.55647147232608,2.13924303611463,2.13924303458919,2.13924303458919,2.13924304164246,2.13924303813737,2.14807295775242,2.13924303813737,2.5687208725782,2.50887269067011,2.50646936084858,2.53921688249518,2.50887264103816,1.79621005542459,1.79325086602202,1.94284273407864,10.6446688906029,10.6446688923397,5.83152104095862,5.42261452903005,5.42261452903005,5.42261452903005,6.40154222513364,0.532588544560566,0.532588544560566,0.532588544560566,0.532588544560566,0.532588544560566,0.532588544560566,0.532588544560566,0.532588544560566,0.532588544560566,0.529374190525991,0.532588544560566,0.532588544560566,0.532588544560566,-7.40432579758786,-7.46552577056935,-7.46552577387583,-7.56582416906092,-7.56582416906092,0.102601998613003,-5.40400334204512,-5.40400334204512,-5.45399840901006,-5.40400334204512,-5.40400334204512,-5.40400334204512,-5.40400334204512,-5.40400334204512,-5.43761505281726,-5.40400334204512,-5.43761481855186,-5.40400334204512,-5.40255387624836,-5.40290448876993,0.65198970600912,0.556366035199859,0.65198970600912,0.65198970600912,0.556366035199859,-2.64919912117224,-2.64919912117224,-0.287310450862617,-2.00425388962001,-2.00425388962001,-2.39518100522854,0.0941005967644823,-1.49396492610221,-0.750234287022509,-0.63220265050607,1.32542525225939
20120110t0000,1.76064574346135,1.79141532659843,1.80810283813385,2.58190423676217,1.35013455540646,2.29706435958783,2.35701627024483,2.43649564063603,2.00129117908785,2.02862437082435,2.02856251817914,2.02856250948341,2.02856250268164,1.69407588601608,2.04614605591294,1.72843312391268,1.80810283813385,1.80810284038828,2.00004912092152,2.58190424056623,2.58190423904079,2.58190423904079,2.58190424609406,2.58190424258897,2.59073416220402,2.58190424258897,2.90696303270888,2.84475484435884,2.84239110673765,2.87509903618392,2.84475479472689,2.2123861419705,2.20942695256793,2.35345367204344,11.0552798285677,11.0552798303045,-2.66714977894186,-2.27994315607876,-2.27994315607876,-2.27994315607876,-0.599409014469253,1.06855653194559,1.06855653194559,1.06855653194559,1.06855653194559,1.06855653194559,1.06855653194559,1.06855653194559,1.06855653194559,1.06855653194559,1.06264415893537,1.06855653194559,1.06855653194559,1.06855653194559,-6.99795932672134,-7.05915929970283,-7.05915930300931,-7.1594576981944,-7.1594576981944,0.467980638729705,-4.9976368711786,-4.9976368711786,-5.04763193814354,-4.9976368711786,-4.9976368711786,-4.9976368711786,-4.9976368711786,-4.9976368711786,-5.03124858195073,-4.9976368711786,-5.03124834768533,-4.9976368711786,-4.99618740538184,-4.99653801790341,1.53096058782144,1.40820294878824,1.53096058782144,1.53096058782144,1.40820294878824,-2.24283265030572,-2.24283265030572,0.202786912914373,-1.59788741875348,-1.59788741875348,-1.98881453436202,0.500467067631005,-1.08759845523569,-0.343867816155987,-0.225836179639547,1.70803041387391
20120111t0000,1.71248761632969,2.03082419687059,1.93157354007643,2.51505532117206,1.53280751145082,2.21954170585171,2.26722157814935,2.43700393682088,1.96464506104722,1.99095526264678,1.99089341000157,1.99089340130584,1.99089339450407,1.73834390191793,1.96159608018302,1.64610018480931,1.93157354007643,1.93157354233085,1.93791484213425,2.51505532497613,2.51505532345068,2.51505532345068,2.51505533050396,2.51505532699886,2.52388524661391,2.51505532699886,2.91169267507173,2.85178222808527,2.84941849046407,2.88212641991034,2.85178217845331,2.11994301609821,2.11698382669564,2.26365897994796,10.9654851364723,10.965485138209,-2.05675122171905,-2.36269177941589,-2.36269177941589,-2.36269177941589,-0.682157637806386,0.922035089098064,0.922035089098064,0.922035089098064,0.922035089098064,0.922035089098064,0.922035089098064,0.922035089098064,0.922035089098064,0.922035089098064,0.916529420646568,0.922035089098064,0.922035089098064,0.922035089098064,-7.08070795005847,-7.14190792303996,-7.14190792634644,-7.24220632153153,-7.24220632153153,0.275380128615027,-5.08038549451573,-5.08038549451573,-5.13038056148067,-5.08038549451573,-5.08038549451573,-5.08038549451573,-5.08038549451573,-5.08038549451573,-5.11399720528787,-5.08038549451573,-5.11399697102247,-5.08038549451573,-5.07893602871897,-5.07928664124054,2.46569870834005,2.38406127950552,2.46569870834005,2.46569870834005,2.38406127950552,-2.32558127364285,-2.32558127364285,0.550620382293179,-1.68063604209062,-1.68063604209062,-2.07156315769915,0.417718444293872,-1.17034707857282,-0.42661643949312,-0.30858480297668,1.65506056890526
